ID_Persona,Region,Edad,Genero,Deporte,Frecuencia_Semanal,Duracion_Promedio_min,Nivel,Gasto_Mensual,Satisfaccion
442,Norte,41,F,Natacion,2,60,Intermedio,17322,5
443,Sur,50,F,Natacion,3,45,Principiante,15153,5
444,Norte,62,Otro,Futbol,4,107,Intermedio,13442,5
445,Norte,18,M,Futbol,1,92,Principiante,10902,5
446,Sur,47,Otro,Yoga,2,66,Principiante,14188,5
447,Buenos Aires,38,Otro,Yoga,2,57,Intermedio,18160,5
448,Norte,36,Otro,Yoga,5,68,Avanzado,22047,5
449,Buenos Aires,65,Otro,Running,4,82,Avanzado,10493,5
450,Buenos Aires,70,M,Yoga,1,55,Principiante,,5
451,Centro,55,M,Ciclismo,2,114,Principiante,22090,5
452,CABA,47,F,Yoga,4,61,Avanzado,19181,5
453,Norte,64,Otro,Natacion,6,30,Avanzado,27645,5
454,Buenos Aires,65,M,Gimnasio,1,84,Principiante,17490,4
455,CABA,30,M,Yoga,5,58,Avanzado,25566,5
456,Sur,30,F,Natacion,4,58,Intermedio,19879,5
457,Norte,27,M,Running,1,82,Principiante,8260,4
458,Norte,20,F,Futbol,1,67,Principiante,8536,5
459,Norte,51,Otro,Ciclismo,2,86,Intermedio,29221,5
460,Sur,56,F,Futbol,3,73,Intermedio,14962,5
461,Sur,35,Otro,Natacion,5,57,Intermedio,23699,5
462,CABA,16,M,Gimnasio,5,84,Intermedio,26079,5
463,CABA,54,M,Running,3,59,Intermedio,9160,5
464,Buenos Aires,52,Otro,Natacion,2,33,Intermedio,18940,5
465,Centro,42,Otro,Natacion,4,57,Avanzado,31093,5
466,Sur,54,Otro,Natacion,3,33,Principiante,14859,5
467,Norte,30,F,Gimnasio,3,59,Intermedio,22832,5
468,CABA,41,M,Natacion,4,48,Avanzado,22933,5
469,CABA,46,F,Natacion,7,40,Avanzado,23280,5
470,Sur,68,F,Futbol,3,85,Intermedio,14982,5
471,CABA,59,M,Futbol,7,112,Avanzado,18197,5
472,Buenos Aires,19,M,Natacion,3,46,Principiante,13928,5
473,Centro,14,F,Gimnasio,2,84,Principiante,16643,5
474,Buenos Aires,19,F,Natacion,4,54,Intermedio,16562,5
475,Norte,17,Otro,Natacion,4,43,Intermedio,16714,5
476,Centro,66,F,Natacion,5,57,Intermedio,,5
477,CABA,48,F,Running,3,36,Principiante,7901,5
478,CABA,36,Otro,Yoga,5,34,Avanzado,23000,5
479,Sur,55,M,Ciclismo,3,115,Intermedio,25195,5
480,CABA,50,M,Natacion,5,48,Intermedio,18818,5
481,Buenos Aires,68,Otro,Gimnasio,2,76,Principiante,17244,5
482,CABA,57,F,Natacion,7,36,Avanzado,30071,5
483,CABA,29,F,Futbol,1,109,Principiante,9291,5
484,Centro,21,M,Ciclismo,4,90,Avanzado,42116,4
485,CABA,31,F,Gimnasio,2,75,Intermedio,25725,5
486,Centro,46,Otro,Running,2,57,Principiante,6977,5
487,Norte,18,F,Futbol,4,118,Avanzado,22758,5
488,Sur,25,F,Gimnasio,2,62,Principiante,16756,5
489,Sur,45,M,Ciclismo,3,117,Principiante,25114,5
490,Norte,57,M,Gimnasio,3,46,Intermedio,24201,5
491,Sur,17,M,Yoga,1,53,Principiante,12100,5
492,Centro,53,Otro,Yoga,5,62,Intermedio,18543,5
493,Centro,38,F,Gimnasio,5,66,Intermedio,20158,5
494,Sur,70,F,Futbol,1,77,Principiante,11307,4
495,CABA,42,F,Ciclismo,3,124,Principiante,21598,4
496,Buenos Aires,37,M,Ciclismo,7,93,Avanzado,43811,5
497,Norte,37,F,Ciclismo,3,101,Intermedio,27595,5
498,Buenos Aires,21,Otro,Futbol,5,99,Intermedio,15965,5
499,CABA,26,M,Natacion,5,59,Intermedio,17889,5
500,Centro,46,F,Yoga,4,49,Avanzado,22580,5
501,Buenos Aires,23,F,Gimnasio,1,67,Principiante,19652,4
502,Sur,29,Otro,Ciclismo,2,67,Principiante,18286,5
503,Sur,13,M,Futbol,4,91,Intermedio,12377,5
504,Buenos Aires,43,M,Gimnasio,5,61,Intermedio,25896,5
505,CABA,17,Otro,Ciclismo,4,91,Intermedio,24520,5
506,Sur,21,Otro,Running,2,80,Principiante,7667,4
507,CABA,57,M,Futbol,6,89,Avanzado,,5
508,CABA,55,M,Yoga,6,32,Avanzado,25611,5
509,Sur,24,F,Gimnasio,6,72,Avanzado,36626,5
510,CABA,56,F,Ciclismo,2,115,Principiante,22948,5
511,Centro,48,M,Running,2,44,Intermedio,9377,5
512,Norte,32,M,Futbol,4,108,Intermedio,12742,5
513,Centro,14,M,Running,3,69,Principiante,7688,5
514,Centro,17,M,Running,2,50,Principiante,6561,5
515,Sur,25,M,Ciclismo,3,75,Principiante,21362,5
516,Sur,54,M,Ciclismo,2,92,Intermedio,27511,4
517,Norte,16,Otro,Running,1,33,Principiante,7614,4
518,Buenos Aires,65,Otro,Gimnasio,1,45,Principiante,20968,5
519,CABA,32,M,Running,1,54,Principiante,7824,5
520,Norte,27,M,Futbol,5,98,Avanzado,16796,5
521,CABA,53,Otro,Yoga,3,61,Principiante,12446,5
522,Sur,36,Otro,Ciclismo,3,88,Intermedio,25585,5
523,Buenos Aires,44,F,Running,6,67,Avanzado,13995,5
524,Norte,42,M,Futbol,3,76,Intermedio,15064,5
525,CABA,50,Otro,Natacion,4,43,Avanzado,25989,5
526,Centro,70,M,Futbol,5,105,Intermedio,14482,5
527,Buenos Aires,45,F,Futbol,7,63,Avanzado,17336,
528,Buenos Aires,51,M,Ciclismo,4,135,Intermedio,28031,5
529,CABA,32,M,Gimnasio,1,81,Principiante,18038,5
530,CABA,18,F,Yoga,4,30,Intermedio,16551,5
531,Buenos Aires,63,M,Natacion,4,31,Avanzado,22086,5
532,Centro,38,Otro,Ciclismo,3,85,Intermedio,31965,4
533,Sur,70,F,Futbol,7,101,Avanzado,16720,5
534,Centro,12,F,Yoga,3,67,Principiante,12757,5
535,Norte,66,M,Ciclismo,4,110,Intermedio,33601,5
536,Norte,19,F,Running,4,71,Avanzado,13936,5
537,Sur,14,M,Running,5,42,Intermedio,9656,5
538,Centro,66,F,Ciclismo,2,95,Principiante,18293,5
539,Norte,64,Otro,Gimnasio,5,69,Avanzado,30344,5
540,Sur,31,M,Gimnasio,6,53,Avanzado,33709,5
541,Norte,66,F,Gimnasio,4,51,Intermedio,20862,5
542,Norte,34,M,Yoga,3,32,Intermedio,14554,5
543,CABA,63,M,Gimnasio,3,60,Intermedio,,5
544,Centro,40,F,Natacion,1,32,Principiante,13431,4
545,Buenos Aires,54,Otro,Gimnasio,2,71,Intermedio,29011,4
546,Sur,42,Otro,Futbol,6,90,Avanzado,23398,5
547,Norte,18,Otro,Ciclismo,5,135,Intermedio,29768,5
548,Buenos Aires,58,M,Gimnasio,3,70,Principiante,14372,5
549,Sur,46,Otro,Natacion,3,57,Principiante,13095,4
550,Centro,13,M,Ciclismo,4,93,Avanzado,43102,5
551,Norte,70,M,Futbol,2,107,Intermedio,14792,5
552,Norte,44,M,Futbol,2,68,Principiante,9341,5
553,Norte,29,Otro,Futbol,1,78,Principiante,10647,5
554,Norte,46,Otro,Yoga,2,40,Intermedio,16814,5
555,CABA,52,F,Ciclismo,5,86,Avanzado,40061,5
556,Sur,66,Otro,Natacion,5,37,Intermedio,,5
557,Centro,23,M,Running,5,34,Intermedio,9461,
558,Norte,22,Otro,Futbol,2,61,Principiante,12099,5
559,Centro,58,Otro,Yoga,5,37,Intermedio,19443,5
560,Norte,64,Otro,Running,2,82,Principiante,6616,5
561,CABA,14,Otro,Gimnasio,4,88,Avanzado,33973,5
562,CABA,37,Otro,Futbol,6,84,Avanzado,19486,5
563,Centro,64,F,Yoga,4,41,Intermedio,19350,5
564,CABA,45,Otro,Gimnasio,1,53,Principiante,18534,5
565,Sur,64,M,Ciclismo,3,70,Intermedio,34077,5
566,Norte,67,M,Natacion,4,52,Avanzado,24534,5
567,Centro,64,F,Ciclismo,2,142,Principiante,20168,5
568,Centro,19,Otro,Yoga,6,34,Avanzado,19066,5
569,Sur,61,M,Running,3,65,Principiante,6074,5
570,Norte,45,Otro,Natacion,7,43,Avanzado,30783,5
571,Buenos Aires,60,F,Ciclismo,5,65,Avanzado,43812,4
572,CABA,59,F,Natacion,3,39,Principiante,12224,4
573,Centro,51,M,Running,4,63,Avanzado,13472,5
574,CABA,42,F,Gimnasio,4,55,Intermedio,20574,5
575,CABA,27,M,Yoga,3,66,Principiante,10314,5
576,Norte,20,F,Natacion,4,39,Intermedio,18816,4
577,Sur,23,Otro,Natacion,5,56,Intermedio,23202,5
578,Norte,18,M,Gimnasio,4,46,Intermedio,27422,5
579,Norte,24,F,Yoga,4,33,Intermedio,19639,5
580,Norte,45,Otro,Yoga,5,68,Avanzado,24817,5
581,CABA,44,M,Yoga,2,59,Intermedio,17668,5
582,CABA,63,M,Futbol,2,111,Principiante,11246,5
583,Norte,24,F,Gimnasio,7,86,Avanzado,38289,5
584,CABA,46,F,Running,5,71,Avanzado,12185,5
585,Norte,63,Otro,Futbol,1,81,Principiante,12046,4
586,Buenos Aires,43,M,Natacion,4,31,Intermedio,20107,5
587,CABA,22,M,Ciclismo,4,79,Avanzado,31882,5
588,CABA,66,Otro,Ciclismo,4,117,Intermedio,29013,5
589,CABA,66,M,Running,1,36,Principiante,6688,4
590,CABA,51,Otro,Running,2,61,Intermedio,8602,5
591,Norte,32,M,Yoga,2,55,Principiante,10490,4
592,Sur,14,Otro,Gimnasio,2,64,Principiante,17522,5
593,CABA,23,M,Gimnasio,3,74,Principiante,15257,5
594,Buenos Aires,65,Otro,Running,4,65,Avanzado,10410,5
595,Centro,23,Otro,Yoga,4,45,Avanzado,26077,5
596,Buenos Aires,44,M,Natacion,3,42,Principiante,16674,5
597,Buenos Aires,19,M,Ciclismo,4,70,Intermedio,32312,5
598,Norte,47,Otro,Running,2,68,Principiante,7183,5
599,Buenos Aires,50,M,Natacion,5,44,Intermedio,16518,5
600,CABA,42,Otro,Running,3,49,Principiante,8310,5
601,Norte,28,Otro,Futbol,2,117,Intermedio,13718,5
602,Centro,17,Otro,Futbol,5,106,Avanzado,16315,5
603,CABA,52,M,Futbol,2,69,Principiante,10038,5
604,Sur,53,M,Ciclismo,4,129,Avanzado,46263,4
605,Centro,21,F,Natacion,1,56,Principiante,13193,5
606,Buenos Aires,15,M,Gimnasio,5,74,Intermedio,27694,5
607,CABA,51,Otro,Futbol,7,110,Avanzado,20224,5
608,Sur,70,F,Yoga,5,37,Avanzado,20670,5
609,CABA,16,F,Futbol,3,60,Principiante,9805,5
610,Sur,30,Otro,Natacion,4,30,Intermedio,22275,5
611,Centro,53,M,Futbol,6,82,Avanzado,19703,5
612,CABA,57,F,Natacion,6,55,Avanzado,21373,5
613,Norte,39,M,Futbol,2,98,Principiante,8495,5
614,CABA,43,F,Futbol,4,84,Avanzado,17127,5
615,Sur,40,Otro,Running,5,89,Avanzado,12314,5
616,Sur,28,F,Yoga,2,67,Principiante,14080,5
617,Norte,26,F,Yoga,1,38,Principiante,12575,4
618,Buenos Aires,15,F,Gimnasio,5,86,Intermedio,26705,5
619,CABA,46,M,Yoga,5,73,Intermedio,15996,5
620,Norte,65,Otro,Running,3,66,Intermedio,9282,5
621,Centro,28,Otro,Gimnasio,1,84,Principiante,15022,5
622,Centro,43,Otro,Natacion,4,35,Avanzado,25520,5
623,Buenos Aires,46,Otro,Ciclismo,3,135,Principiante,20354,5
624,Norte,69,Otro,Ciclismo,5,73,Intermedio,30201,5
625,Norte,48,M,Futbol,2,78,Intermedio,17668,4
626,Buenos Aires,12,Otro,Natacion,5,47,Avanzado,29965,5
627,CABA,45,M,Running,6,48,Avanzado,15331,5
628,Centro,41,Otro,Futbol,5,71,Intermedio,17717,5
629,CABA,62,Otro,Futbol,6,113,Avanzado,19721,5
630,Sur,34,Otro,Ciclismo,6,77,Avanzado,41106,5
631,Norte,18,Otro,Gimnasio,3,73,Principiante,16453,5
632,Sur,20,M,Ciclismo,3,134,Principiante,24426,5
633,Norte,31,M,Yoga,7,72,Avanzado,24126,5
634,Centro,70,Otro,Ciclismo,2,60,Intermedio,27890,4
635,Sur,68,F,Gimnasio,3,77,Principiante,15856,5
636,Sur,67,F,Gimnasio,4,56,Intermedio,21595,5
637,Sur,28,M,Futbol,6,104,Avanzado,17482,5
638,Sur,14,M,Natacion,4,46,Avanzado,22047,5
639,Centro,49,M,Natacion,2,46,Intermedio,18080,5
640,Centro,47,M,Running,5,41,Intermedio,9888,5
641,Buenos Aires,37,F,Yoga,4,33,Intermedio,20260,5
642,Sur,30,F,Yoga,2,62,Principiante,10406,5
643,CABA,18,Otro,Gimnasio,4,53,Intermedio,24617,5
644,CABA,39,Otro,Yoga,4,46,Intermedio,16243,5
645,CABA,68,Otro,Ciclismo,6,103,Avanzado,40852,5
646,Centro,52,Otro,Gimnasio,3,81,Principiante,15499,5
647,CABA,53,Otro,Ciclismo,4,137,Intermedio,30749,5
648,Norte,52,Otro,Yoga,2,47,Intermedio,18903,4
649,CABA,45,M,Gimnasio,2,58,Intermedio,23607,4
650,CABA,51,F,Ciclismo,4,80,Intermedio,26887,5
651,Norte,40,Otro,Futbol,4,97,Avanzado,18267,5
652,Centro,65,M,Futbol,1,88,Principiante,9305,5
653,Centro,59,F,Gimnasio,7,62,Avanzado,27661,5
654,Centro,21,F,Yoga,1,50,Principiante,12397,4
655,Sur,48,M,Yoga,2,30,Principiante,11450,5
656,Buenos Aires,40,M,Running,3,74,Intermedio,10511,5
657,Centro,44,Otro,Gimnasio,3,80,Intermedio,22100,5
658,Norte,18,Otro,Running,2,59,Intermedio,11561,5
659,Norte,47,M,Gimnasio,4,85,Intermedio,23131,5
660,Centro,53,F,Futbol,6,105,Avanzado,22602,5
661,Norte,12,Otro,Ciclismo,4,76,Avanzado,45234,
662,Sur,40,Otro,Running,2,60,Intermedio,9410,5
663,Centro,19,Otro,Running,3,90,Principiante,5928,5
664,Sur,45,F,Yoga,5,31,Avanzado,24439,5
665,Centro,66,M,Running,5,38,Avanzado,13045,5
666,Buenos Aires,38,F,Running,4,35,Intermedio,8408,5
667,Buenos Aires,50,F,Gimnasio,5,65,Intermedio,22719,5
668,CABA,14,F,Running,5,39,Intermedio,11713,5
669,Buenos Aires,33,Otro,Yoga,6,59,Avanzado,19260,5
670,CABA,12,Otro,Gimnasio,3,58,Principiante,19564,5
671,Buenos Aires,43,Otro,Running,4,37,Avanzado,12850,5
672,Sur,29,M,Ciclismo,6,90,Avanzado,36885,5
673,Centro,25,M,Running,2,76,Intermedio,11878,5
674,Norte,65,Otro,Running,2,81,Principiante,6967,5
675,CABA,25,F,Ciclismo,4,108,Avanzado,40012,5
676,Norte,53,F,Yoga,7,48,Avanzado,22288,5
677,Norte,24,Otro,Natacion,7,41,Avanzado,29305,5
678,Norte,54,M,Natacion,2,36,Principiante,16045,5
679,Norte,67,F,Gimnasio,4,58,Avanzado,30741,
680,Buenos Aires,49,M,Natacion,7,50,Avanzado,25592,5
681,CABA,19,F,Natacion,1,32,Principiante,14218,5
682,Sur,27,M,Ciclismo,7,77,Avanzado,32082,5
683,Buenos Aires,63,Otro,Yoga,4,75,Avanzado,26190,5
684,CABA,16,M,Natacion,7,37,Avanzado,31160,5
685,Sur,46,F,Running,2,33,Intermedio,8703,5
686,CABA,64,M,Ciclismo,7,98,Avanzado,38479,5
687,Norte,23,M,Yoga,4,58,Intermedio,18495,5
688,CABA,14,F,Gimnasio,2,82,Intermedio,25443,4
689,Buenos Aires,40,Otro,Ciclismo,7,82,Avanzado,31415,5
690,Centro,47,Otro,Ciclismo,5,75,Avanzado,31644,5
691,Sur,28,Otro,Futbol,3,86,Intermedio,12937,5
692,Centro,54,M,Natacion,4,54,Avanzado,24448,5
693,CABA,42,F,Running,2,81,Principiante,6262,4
694,Sur,68,Otro,Running,1,30,Principiante,5739,5
695,CABA,25,Otro,Gimnasio,2,51,Intermedio,29010,5
696,CABA,15,F,Ciclismo,4,88,Intermedio,30889,5
697,CABA,31,Otro,Yoga,4,66,Avanzado,19392,5
698,Norte,15,F,Gimnasio,4,51,Intermedio,22217,5
699,Centro,46,F,Yoga,7,50,Avanzado,25677,5
700,Sur,53,Otro,Gimnasio,3,51,Intermedio,24763,4
701,Centro,67,M,Running,3,53,Principiante,6471,5
702,Sur,63,Otro,Futbol,7,66,Avanzado,22880,5
703,CABA,38,Otro,Ciclismo,5,141,Intermedio,26296,5
704,Sur,18,Otro,Running,4,90,Intermedio,8169,5
705,Buenos Aires,51,F,Natacion,6,31,Avanzado,24518,5
706,CABA,30,F,Gimnasio,5,69,Intermedio,21593,
707,Norte,60,Otro,Gimnasio,4,85,Intermedio,22614,5
708,Buenos Aires,45,F,Running,3,60,Intermedio,11692,5
709,Centro,22,F,Natacion,6,38,Avanzado,25927,5
710,Buenos Aires,59,F,Gimnasio,5,61,Intermedio,28109,5
711,CABA,36,Otro,Ciclismo,3,106,Principiante,20190,5
712,Norte,42,M,Yoga,2,38,Intermedio,16856,5
713,Norte,31,F,Running,5,40,Avanzado,15368,5
714,Buenos Aires,59,Otro,Yoga,2,67,Intermedio,16506,5
715,Buenos Aires,14,Otro,Futbol,2,67,Intermedio,16424,4
716,Sur,70,F,Futbol,2,72,Principiante,10429,5
717,Centro,35,F,Running,7,57,Avanzado,15226,5
718,CABA,33,Otro,Yoga,3,36,Intermedio,19480,5
719,Norte,43,M,Futbol,2,118,Principiante,10405,4
720,Sur,38,Otro,Natacion,6,38,Avanzado,28427,5
721,CABA,38,Otro,Futbol,5,83,Intermedio,15117,5
722,Norte,47,F,Ciclismo,2,63,Intermedio,30792,5
723,Norte,40,F,Gimnasio,3,71,Principiante,15407,5
724,Sur,51,M,Gimnasio,7,54,Avanzado,,5
725,CABA,38,M,Running,2,31,Principiante,7282,5
726,Sur,28,Otro,Ciclismo,3,117,Principiante,20006,5
727,Norte,47,M,Yoga,2,34,Intermedio,19479,5
728,Sur,14,Otro,Futbol,2,76,Principiante,10785,5
729,Centro,17,F,Futbol,1,89,Principiante,8831,5
730,CABA,13,Otro,Gimnasio,3,90,Intermedio,24953,5
731,Centro,21,M,Yoga,2,70,Principiante,10600,5
732,Sur,59,F,Running,5,60,Intermedio,9630,5
733,Centro,44,M,Futbol,5,70,Avanzado,20946,5
734,Norte,36,F,Gimnasio,3,76,Principiante,20952,5
735,Centro,53,F,Running,6,78,Avanzado,12936,5
736,Centro,30,F,Natacion,7,30,Avanzado,27302,5
737,Norte,60,Otro,Ciclismo,5,150,Intermedio,35211,5
738,Buenos Aires,37,F,Futbol,3,85,Intermedio,16335,4
739,Centro,61,M,Ciclismo,3,106,Principiante,22600,5
740,CABA,17,M,Running,2,58,Principiante,8095,5
741,Norte,53,Otro,Yoga,6,41,Avanzado,23075,5
742,Centro,49,Otro,Ciclismo,6,146,Avanzado,32169,5
743,Buenos Aires,50,Otro,Running,2,83,Principiante,7987,5
744,CABA,58,Otro,Gimnasio,1,61,Principiante,16785,5
745,Buenos Aires,67,F,Ciclismo,4,104,Intermedio,33101,5
746,Sur,46,F,Gimnasio,2,70,Intermedio,23712,5
747,Centro,15,Otro,Natacion,2,60,Principiante,12760,5
748,Norte,52,M,Futbol,5,97,Intermedio,12200,5
749,CABA,68,Otro,Gimnasio,5,81,Intermedio,22089,5
750,Sur,44,M,Running,5,68,Avanzado,12810,5
751,Buenos Aires,31,Otro,Ciclismo,4,112,Intermedio,35671,
752,Norte,48,F,Futbol,6,77,Avanzado,19809,5
753,Sur,53,M,Gimnasio,4,46,Intermedio,27683,5
754,Buenos Aires,64,F,Natacion,2,54,Intermedio,17991,5
755,Centro,51,M,Gimnasio,5,69,Intermedio,28870,5
756,CABA,27,M,Gimnasio,5,65,Avanzado,38781,5
757,Buenos Aires,32,Otro,Gimnasio,1,81,Principiante,18340,5
758,Centro,42,M,Gimnasio,1,83,Principiante,19674,
759,Norte,29,M,Running,3,66,Principiante,7795,5
760,Norte,59,F,Ciclismo,4,150,Avanzado,35824,5
761,Centro,38,Otro,Gimnasio,2,58,Intermedio,28531,5
762,Centro,21,F,Yoga,5,31,Intermedio,14946,5
763,Sur,42,Otro,Running,4,61,Intermedio,10058,5
764,Norte,36,F,Running,2,89,Principiante,7564,5
765,CABA,53,Otro,Gimnasio,4,81,Avanzado,31184,5
766,Norte,28,M,Yoga,1,48,Principiante,,5
767,Buenos Aires,31,M,Futbol,4,117,Intermedio,12889,5
768,Sur,51,Otro,Futbol,7,92,Avanzado,21210,5
769,Sur,64,F,Ciclismo,7,139,Avanzado,45037,5
770,Buenos Aires,35,F,Gimnasio,3,53,Intermedio,25283,5
771,Centro,47,Otro,Futbol,6,109,Avanzado,20768,5
772,Centro,16,F,Ciclismo,2,81,Principiante,19898,4
773,Centro,44,M,Futbol,2,87,Principiante,10275,
774,Buenos Aires,24,Otro,Running,2,77,Principiante,7996,5
775,Buenos Aires,52,Otro,Yoga,7,69,Avanzado,24537,5
776,Buenos Aires,34,F,Running,7,36,Avanzado,13802,5
777,Norte,13,Otro,Natacion,1,42,Principiante,12451,5
778,CABA,19,M,Gimnasio,4,52,Avanzado,32462,5
779,Norte,35,F,Gimnasio,5,86,Avanzado,37773,5
780,Norte,51,F,Gimnasio,3,79,Intermedio,22142,5
781,Centro,42,M,Running,7,78,Avanzado,12689,5
782,Centro,22,Otro,Ciclismo,3,81,Principiante,17384,5
783,Sur,37,F,Gimnasio,6,88,Avanzado,30905,5
784,Centro,62,F,Running,3,79,Intermedio,9949,5
785,Centro,66,M,Futbol,6,73,Avanzado,18837,5
786,CABA,59,F,Natacion,2,30,Intermedio,23280,4
787,Sur,15,M,Yoga,4,31,Avanzado,22660,5
788,Buenos Aires,57,M,Running,2,47,Intermedio,8928,5
789,CABA,54,M,Ciclismo,4,114,Intermedio,32753,5
790,Buenos Aires,63,M,Running,3,30,Intermedio,8061,5
791,Buenos Aires,38,Otro,Futbol,3,102,Intermedio,12169,5
792,Centro,67,M,Natacion,3,45,Principiante,14933,5
793,Centro,43,Otro,Gimnasio,7,53,Avanzado,37479,5
794,CABA,65,M,Ciclismo,6,111,Avanzado,38796,5
795,Buenos Aires,41,F,Futbol,3,113,Principiante,8881,5
796,Centro,24,F,Futbol,6,64,Avanzado,20194,5
797,Sur,24,M,Gimnasio,3,80,Intermedio,20281,5
798,Centro,30,F,Futbol,5,120,Avanzado,23085,5
799,CABA,13,F,Running,2,86,Intermedio,8705,4
800,CABA,34,F,Gimnasio,2,63,Principiante,15798,5
801,CABA,27,F,Gimnasio,4,70,Intermedio,20462,4
802,Centro,36,Otro,Running,2,65,Intermedio,8797,4
803,Norte,54,F,Futbol,2,62,Principiante,10902,5
804,Sur,20,M,Gimnasio,4,65,Intermedio,29031,
805,Centro,45,Otro,Gimnasio,2,55,Intermedio,27013,4
806,Buenos Aires,30,F,Running,4,64,Intermedio,9688,5
807,Norte,15,Otro,Gimnasio,1,86,Principiante,19984,5
808,Buenos Aires,43,Otro,Yoga,5,46,Intermedio,16370,5
809,CABA,12,M,Futbol,6,111,Avanzado,22276,5
810,Centro,30,F,Running,3,30,Principiante,,5
811,Norte,34,F,Futbol,3,73,Principiante,11853,5
812,Centro,67,Otro,Futbol,6,114,Avanzado,22954,5
813,CABA,35,Otro,Running,4,81,Intermedio,11257,5
814,Centro,70,F,Natacion,6,47,Avanzado,28490,5
815,Centro,52,M,Running,2,37,Principiante,7649,5
816,Buenos Aires,58,Otro,Ciclismo,4,134,Intermedio,24714,5
817,Sur,47,F,Yoga,2,63,Intermedio,20996,4
818,Sur,51,Otro,Yoga,3,30,Principiante,10702,5
819,Sur,58,F,Futbol,3,72,Principiante,,5
820,Buenos Aires,42,M,Yoga,2,74,Principiante,11203,5
821,Sur,32,M,Ciclismo,1,117,Principiante,23843,5
822,Sur,30,M,Yoga,4,38,Avanzado,20338,5
823,Sur,46,Otro,Running,5,43,Intermedio,11486,5
824,Norte,29,F,Running,5,36,Avanzado,13553,5
825,Norte,61,Otro,Gimnasio,2,53,Principiante,15495,5
826,Sur,24,Otro,Futbol,1,113,Principiante,11333,4
827,Norte,27,F,Running,5,84,Avanzado,13127,
828,Buenos Aires,22,M,Running,5,41,Avanzado,11194,5
829,Sur,67,Otro,Yoga,2,61,Intermedio,17227,5
830,Centro,42,Otro,Futbol,7,119,Avanzado,20844,5
831,CABA,67,F,Yoga,5,34,Intermedio,15159,5
832,Sur,46,Otro,Ciclismo,2,121,Intermedio,,4
833,Centro,13,Otro,Futbol,4,115,Intermedio,15628,5
834,CABA,34,Otro,Gimnasio,3,80,Intermedio,21661,5
835,Sur,56,M,Natacion,4,30,Avanzado,28357,5
836,CABA,15,M,Ciclismo,6,75,Avanzado,44211,5
837,CABA,54,F,Running,3,51,Intermedio,9630,5
838,Buenos Aires,60,F,Running,2,75,Principiante,6262,5
839,Buenos Aires,38,M,Running,2,88,Intermedio,8643,5
840,Sur,19,Otro,Yoga,2,37,Intermedio,15717,4
841,Centro,64,M,Gimnasio,5,81,Intermedio,21557,5
842,Sur,54,F,Ciclismo,3,63,Principiante,25116,5
843,CABA,69,Otro,Gimnasio,1,60,Principiante,16313,5
844,Buenos Aires,28,F,Natacion,3,50,Intermedio,19956,5
845,Norte,27,F,Gimnasio,2,49,Intermedio,25284,5
846,Sur,67,M,Gimnasio,2,62,Intermedio,27277,5
847,Norte,16,F,Gimnasio,2,88,Principiante,20564,5
848,Norte,61,F,Running,7,58,Avanzado,12823,
849,Norte,35,Otro,Running,4,42,Avanzado,13410,5
850,Norte,56,F,Ciclismo,4,133,Intermedio,35086,5
851,Buenos Aires,12,F,Futbol,4,79,Avanzado,16339,5
852,Buenos Aires,58,M,Yoga,5,50,Intermedio,18139,5
853,Sur,42,Otro,Natacion,7,34,Avanzado,26683,5
854,CABA,64,M,Running,3,51,Principiante,8031,5
855,Centro,30,M,Running,5,51,Avanzado,15359,5
856,Centro,29,M,Natacion,1,51,Principiante,12587,4
857,CABA,33,Otro,Ciclismo,7,103,Avanzado,31524,5
858,Buenos Aires,41,M,Yoga,4,52,Intermedio,,5
859,Centro,49,F,Natacion,2,56,Principiante,13439,5
860,Norte,40,F,Yoga,2,63,Principiante,,5
861,CABA,14,Otro,Yoga,5,35,Avanzado,19979,5
862,Buenos Aires,45,M,Ciclismo,4,137,Avanzado,43658,4
863,Norte,34,M,Natacion,5,31,Intermedio,16719,5
864,Centro,55,M,Natacion,1,46,Principiante,12994,4
865,Buenos Aires,44,Otro,Running,4,38,Intermedio,10545,5
866,Norte,64,M,Gimnasio,5,66,Avanzado,36036,5
867,Norte,47,F,Gimnasio,7,50,Avanzado,28488,5
868,Buenos Aires,26,Otro,Running,5,45,Intermedio,10529,5
869,Buenos Aires,57,M,Ciclismo,4,124,Intermedio,31328,5
870,Sur,43,F,Yoga,4,30,Intermedio,20149,5
871,Norte,31,M,Running,1,62,Principiante,7420,5
872,Sur,57,M,Yoga,1,74,Principiante,11384,5
873,Norte,38,Otro,Natacion,3,50,Principiante,11830,5
874,Buenos Aires,45,M,Futbol,5,94,Intermedio,16450,5
875,Sur,62,M,Yoga,7,30,Avanzado,,5
876,CABA,43,Otro,Yoga,5,61,Intermedio,19541,5
877,Buenos Aires,68,F,Yoga,5,37,Avanzado,22142,5
878,Norte,65,M,Natacion,4,45,Intermedio,18326,5
879,Norte,32,F,Running,3,52,Intermedio,11164,5
880,Centro,43,Otro,Futbol,5,74,Intermedio,17745,5
881,CABA,66,Otro,Gimnasio,5,84,Avanzado,29661,5
882,Buenos Aires,42,F,Natacion,4,57,Intermedio,21626,5
883,Buenos Aires,68,M,Gimnasio,2,61,Principiante,19310,5
884,Sur,61,Otro,Natacion,2,31,Intermedio,23751,5
885,CABA,41,Otro,Futbol,7,77,Avanzado,19533,5
